date,plate,park_location,service,arrival_time,start_handling_time,stop_handling_time,exit_time,qtime,htime,extime,dtime,loading,del_pick,del_size,pick_size,refrigerated,vehicle_type,vehicle_model,no_workers,side_company,side_postal,commodity_type,commodity_extra,number_stores,store_name1,store_floor1,store_number1,store_type1,opening1,no_branches1,link1,store_name2,store_floor2,store_number2,store_type2,opening2,no_branches2,link2,store_name3,store_floor3,store_number3,store_type3,opening3,no_branches3,link3,store_name4,store_floor4,store_number4,store_type4,opening4,no_branches4,link4,logo,employer,employer_type,reloads,stops,origin,origin_extra,morning_load,erp,start_work,stop_work,gas_refills,flex,flex_extra
24/06/15,YM2210H,LB,GV,24/06/15 07:21,24/06/15 07:22,24/06/15 07:31,24/06/15 07:31,1,9,0,10,3,1,1,0,NA,OpenLightTrucks,TOYOTA DYNA,1,CHICKEN EGG,NA,fresh_frozen_food,FRESH EGGS,NA,Kopitiam,B2,10, food_restaurants, 7am to 10pm,77,http://www.kopitiam.biz/search-results/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,MH NG WAH HONG ENTERPRISES PTE LTD 64871491,NA,SUPPLIER,1,"30,35",LIM CHU KANG,NA,4,Y,06:30:00,18:30:00,NA,N,MUST ALWAYS BE THE SAME OR WILL BE MESSY
24/06/15,GBD4657J,NA,GV,24/06/15 07:20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,OpenLightTrucks,Toyota Dyna 100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24/06/15,GQ7626B,NA,GV,24/06/15 07:23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,OpenLightTrucks,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24/06/15,PA7379S,NA,GV,24/06/15 07:28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Others,OTHER,NA,NA,NA,others,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ORCHID COUNTY CLUB,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24/06/15,GBA14332,LB,service,24/06/15 07:31,24/06/15 07:32,24/06/15 07:47,24/06/15 07:47,1,15,0,16,1,4,0,0,N,LargeVans,TOYOTA HIACE,4,ESSENTIALS ENGINEERING,555856,service_trash,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24/06/15,YN1012P,NA,service,24/06/15 07:36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,HeavyTrucks,Mitsubishi-FUSO,NA,NA,NA,service_trash,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SIN GUAN LEE TRADING,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24/06/15,YM763K,LB,GV,24/06/15 07:37,24/06/15 07:43,24/06/15 07:49,24/06/15 07:49,6,6,0,12,2,1,0.6,0,Y,ClosedLightTrucks,ISUZU NPR,1,NA,417883,fresh_frozen_food,FRESH VEGGIES,1,Cantine,3,47/51, food_restaurants, 7am to 10pm,3, None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,V COOL SERVICES 93827025/68343882,AW GUAN HONG,WHOLESALER,2,"20,25",WESTERN REGION,NA,3,N,12:30,16:00,3,Y,NA
24/06/15,GY3818Z,NA,GV,24/06/15 07:38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SmallVans,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FUJITSU,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24/06/15,YM7827X,LB,GV,24/06/15 07:39,24/06/15 07:44,24/06/15 09:30,24/06/15 09:30,5,106,0,111,NA,NA,NA,NA,NA,HeavyTrucks,NA,2,AJ JETTING PTE LTD,569880,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AJ JUHING PTE LTD,JETTING",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24/06/15,GY9625Z,LB,service,24/06/15 07:39,24/06/15 07:40,24/06/15 09:07,24/06/15 09:07,1,87,0,88,NA,4,0,0,NA,LargeVans,NA,2,NA,53582,service_trash,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AMPEST MANAGEMENT PTE LTD ,AIMPEST",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
