"time","2015-06-24","2015-06-25","2015-06-26","2016-01-21","2016-01-22"
2016-01-01 07:39:24,6,1,4,9,2
2016-01-01 07:39:24,6,2,4,9,2
2016-01-01 07:39:24,6,1,4,9,2
2016-01-01 07:39:57,6,1,4,9,3
2016-01-01 07:40:10,6,1,4,9,4
2016-01-01 07:40:10,6,1,4,9,3
2016-01-01 07:40:10,6,1,4,9,4
2016-01-01 07:40:10,6,1,4,9,3
2016-01-01 07:40:17,6,2,4,9,3
2016-01-01 07:40:18,6,2,4,9,4
2016-01-01 07:40:26,6,2,4,10,4
2016-01-01 07:40:41,6,2,4,10,5
2016-01-01 07:41:10,6,2,4,11,5
2016-01-01 07:41:14,6,2,4,11,6
2016-01-01 07:41:28,6,2,5,12,6
2016-01-01 07:41:28,6,2,5,12,6
2016-01-01 07:41:48,6,2,5,12,7
2016-01-01 07:42:03,6,2,5,13,7
2016-01-01 07:42:18,6,2,6,13,7
2016-01-01 07:42:23,6,2,6,13,6
2016-01-01 07:42:31,6,2,6,13,7
2016-01-01 07:42:37,6,2,6,13,8
2016-01-01 07:42:42,6,2,5,13,8
2016-01-01 07:43:00,6,2,5,12,8
2016-01-01 07:43:03,6,2,5,11,8
2016-01-01 07:43:10,7,2,5,11,8
2016-01-01 07:43:28,7,2,5,11,9
2016-01-01 07:43:29,7,2,5,12,9
2016-01-01 07:43:43,7,2,5,11,9
2016-01-01 07:44:00,7,2,5,11,8
2016-01-01 07:44:24,7,2,4,11,8
2016-01-01 07:44:34,6,2,4,11,8
2016-01-01 07:44:37,6,2,4,10,8
2016-01-01 07:45:08,6,2,4,10,9
2016-01-01 07:45:25,6,2,4,10,10
2016-01-01 07:45:30,6,2,4,11,10
2016-01-01 07:45:43,6,2,4,11,11
2016-01-01 07:46:16,6,2,4,12,11
2016-01-01 07:46:22,6,2,4,11,11
2016-01-01 07:46:23,6,2,4,12,11
2016-01-01 07:46:39,6,3,4,12,11
2016-01-01 07:46:45,6,3,4,11,11
2016-01-01 07:46:58,6,3,4,11,10
2016-01-01 07:47:02,6,3,4,11,9
2016-01-01 07:47:03,6,3,4,11,8
2016-01-01 07:47:22,7,3,4,11,8
2016-01-01 07:47:43,7,3,5,11,8
2016-01-01 07:47:44,7,3,5,12,8
2016-01-01 07:47:58,7,3,5,12,9
2016-01-01 07:48:04,7,3,5,12,8
2016-01-01 07:48:24,6,2,5,12,8
2016-01-01 07:48:24,6,2,5,12,8
2016-01-01 07:48:46,5,2,5,12,8
2016-01-01 07:48:51,5,2,4,12,8
2016-01-01 07:49:10,6,2,4,12,8
2016-01-01 07:49:12,6,2,4,13,8
2016-01-01 07:49:25,6,2,5,13,8
2016-01-01 07:49:52,6,2,5,12,8
2016-01-01 07:50:24,5,2,5,12,8
2016-01-01 07:50:26,5,2,5,11,8
2016-01-01 07:50:36,5,2,5,12,8
2016-01-01 07:50:52,5,2,4,12,8
2016-01-01 07:51:02,5,2,4,13,8
2016-01-01 07:51:35,5,2,4,13,7
2016-01-01 07:52:32,5,2,4,12,7
2016-01-01 07:52:33,5,2,4,11,7
2016-01-01 07:52:45,5,2,4,10,7
2016-01-01 07:53:05,5,2,4,11,7
2016-01-01 07:53:26,6,2,4,11,7
2016-01-01 07:53:58,6,2,5,11,7
2016-01-01 07:54:04,6,2,6,11,7
2016-01-01 07:54:06,6,2,6,12,7
2016-01-01 07:54:24,5,2,6,12,7
2016-01-01 07:54:31,5,2,7,12,7
2016-01-01 07:54:33,5,2,7,11,7
2016-01-01 07:54:41,5,2,7,10,7
2016-01-01 07:54:48,5,3,7,10,7
2016-01-01 07:55:45,5,3,7,10,8
2016-01-01 07:55:51,5,3,8,10,8
2016-01-01 07:56:01,5,3,8,10,9
2016-01-01 07:56:12,5,2,8,10,9
2016-01-01 07:56:24,5,1,8,10,9
2016-01-01 07:56:24,5,0,8,10,9
2016-01-01 07:56:24,5,1,8,10,9
2016-01-01 07:56:24,5,0,8,10,9
2016-01-01 07:56:51,5,0,8,9,9
2016-01-01 07:56:57,5,0,8,9,8
2016-01-01 07:57:04,5,0,7,9,8
2016-01-01 07:57:14,5,0,7,9,9
2016-01-01 07:57:18,5,0,7,9,10
2016-01-01 07:57:21,5,0,6,9,10
2016-01-01 07:57:35,5,0,6,8,10
2016-01-01 07:57:40,5,0,7,8,10
2016-01-01 07:57:43,6,0,7,8,10
2016-01-01 07:58:12,6,1,7,8,10
2016-01-01 07:58:26,6,1,7,8,9
2016-01-01 07:58:42,6,1,8,8,9
2016-01-01 07:58:47,6,1,8,8,10
2016-01-01 07:59:01,6,1,8,8,9
2016-01-01 07:59:07,5,1,8,8,9
2016-01-01 08:00:18,5,1,8,8,10
2016-01-01 08:00:19,5,1,8,8,9
2016-01-01 08:00:33,5,1,7,8,10
2016-01-01 08:00:33,5,1,7,8,10
2016-01-01 08:00:42,5,1,7,7,10
2016-01-01 08:00:43,5,1,7,7,11
2016-01-01 08:00:53,5,1,7,8,11
2016-01-01 08:00:58,5,1,7,8,12
2016-01-01 08:01:11,5,1,7,8,13
2016-01-01 08:01:26,6,1,7,8,14
2016-01-01 08:01:26,6,1,7,8,14
2016-01-01 08:01:34,7,1,7,8,14
2016-01-01 08:01:36,7,1,7,8,15
2016-01-01 08:01:41,7,2,7,8,15
2016-01-01 08:01:44,7,2,7,9,15
2016-01-01 08:02:10,7,2,7,9,14
2016-01-01 08:02:21,7,2,7,8,14
2016-01-01 08:02:24,6,2,7,8,14
2016-01-01 08:02:30,6,2,7,9,14
2016-01-01 08:02:54,6,2,7,8,14
2016-01-01 08:02:57,6,2,7,8,13
2016-01-01 08:02:58,5,2,7,8,13
2016-01-01 08:03:05,5,2,7,7,13
2016-01-01 08:03:11,5,2,7,7,12
2016-01-01 08:03:21,5,2,8,7,12
2016-01-01 08:03:34,5,2,8,7,13
2016-01-01 08:04:02,5,2,8,8,13
2016-01-01 08:04:39,5,2,8,7,13
2016-01-01 08:06:11,5,2,7,7,13
2016-01-01 08:06:42,5,2,6,8,13
2016-01-01 08:06:42,5,2,6,8,13
2016-01-01 08:06:54,5,2,6,8,14
2016-01-01 08:07:01,5,2,7,8,14
2016-01-01 08:07:16,5,2,7,9,14
2016-01-01 08:07:43,5,2,7,9,15
2016-01-01 08:07:53,5,2,7,8,15
2016-01-01 08:08:01,5,2,6,8,15
2016-01-01 08:08:15,5,3,6,8,15
2016-01-01 08:08:19,5,3,6,9,15
2016-01-01 08:08:21,5,3,6,9,14
2016-01-01 08:08:22,5,3,7,9,14
2016-01-01 08:08:24,5,3,7,10,14
2016-01-01 08:08:26,5,3,7,9,14
2016-01-01 08:08:41,5,3,7,9,13
2016-01-01 08:08:42,5,3,7,8,13
2016-01-01 08:08:43,5,3,6,8,13
2016-01-01 08:09:02,5,3,6,8,14
2016-01-01 08:09:07,6,3,6,8,14
2016-01-01 08:09:35,6,3,6,9,14
2016-01-01 08:09:41,6,4,6,9,13
2016-01-01 08:09:41,6,4,6,9,13
2016-01-01 08:10:24,5,4,6,9,13
2016-01-01 08:10:34,5,4,7,9,13
2016-01-01 08:10:34,5,4,6,9,13
2016-01-01 08:10:34,5,4,7,9,13
2016-01-01 08:10:34,5,4,6,9,13
2016-01-01 08:10:39,5,4,7,9,13
2016-01-01 08:10:42,5,4,7,10,13
2016-01-01 08:11:06,5,4,7,10,14
2016-01-01 08:11:14,5,4,7,10,15
2016-01-01 08:11:27,5,4,7,11,15
2016-01-01 08:11:29,5,4,7,11,16
2016-01-01 08:12:09,5,4,7,12,16
2016-01-01 08:12:41,5,4,7,12,15
2016-01-01 08:12:46,5,4,7,12,14
2016-01-01 08:12:48,5,4,7,12,15
2016-01-01 08:12:48,5,4,7,12,16
2016-01-01 08:12:48,5,4,7,12,15
2016-01-01 08:12:48,5,4,7,12,16
2016-01-01 08:13:01,5,4,7,12,15
2016-01-01 08:13:19,5,4,7,12,16
2016-01-01 08:13:53,5,5,7,12,16
2016-01-01 08:14:03,5,5,7,12,17
2016-01-01 08:14:07,5,5,7,12,16
2016-01-01 08:14:08,5,5,7,13,16
2016-01-01 08:15:30,5,5,7,12,16
2016-01-01 08:15:35,5,5,7,13,16
2016-01-01 08:15:45,5,5,7,13,17
2016-01-01 08:15:50,5,5,7,13,16
2016-01-01 08:16:43,5,5,8,14,16
2016-01-01 08:16:43,5,5,8,14,16
2016-01-01 08:16:55,5,5,7,14,16
2016-01-01 08:17:24,4,5,7,14,16
2016-01-01 08:17:27,4,5,7,15,16
2016-01-01 08:17:30,4,5,6,16,16
2016-01-01 08:17:30,4,5,6,16,16
2016-01-01 08:17:32,4,5,6,16,15
2016-01-01 08:17:36,4,5,6,16,16
2016-01-01 08:17:54,4,5,6,16,17
2016-01-01 08:17:55,4,5,6,16,16
2016-01-01 08:18:23,4,5,6,16,15
2016-01-01 08:18:31,4,5,5,16,15
2016-01-01 08:18:34,4,5,5,16,14
2016-01-01 08:18:39,4,6,5,16,14
2016-01-01 08:18:53,4,6,5,16,13
2016-01-01 08:19:24,4,6,5,15,13
2016-01-01 08:19:31,4,6,5,16,13
2016-01-01 08:19:46,4,6,5,16,12
2016-01-01 08:19:57,4,6,5,16,13
2016-01-01 08:19:59,5,6,5,16,13
2016-01-01 08:20:08,5,6,5,16,14
2016-01-01 08:20:46,5,6,5,15,14
2016-01-01 08:20:49,5,6,5,14,14
2016-01-01 08:20:56,5,6,5,14,13
2016-01-01 08:21:29,5,6,5,14,14
2016-01-01 08:21:40,5,6,5,14,15
2016-01-01 08:21:41,5,6,5,15,15
2016-01-01 08:21:51,5,6,5,16,15
2016-01-01 08:22:08,5,6,4,16,15
2016-01-01 08:22:25,5,7,4,16,15
2016-01-01 08:22:30,5,7,4,15,15
2016-01-01 08:22:34,5,7,5,15,15
2016-01-01 08:22:36,6,7,5,15,15
2016-01-01 08:22:42,6,7,5,15,14
2016-01-01 08:22:51,6,7,5,14,14
2016-01-01 08:22:55,6,7,5,14,13
2016-01-01 08:23:16,6,7,6,14,13
2016-01-01 08:23:24,6,7,7,14,13
2016-01-01 08:24:05,6,7,7,15,13
2016-01-01 08:24:08,6,7,6,15,13
2016-01-01 08:24:18,6,7,5,15,13
2016-01-01 08:24:30,6,7,5,16,13
2016-01-01 08:24:37,6,7,5,16,12
2016-01-01 08:24:47,6,7,5,16,11
2016-01-01 08:24:53,6,7,5,16,12
2016-01-01 08:25:03,6,7,6,16,12
2016-01-01 08:25:23,6,7,6,16,11
2016-01-01 08:25:24,6,6,6,16,11
2016-01-01 08:25:26,6,6,6,15,11
2016-01-01 08:25:56,6,6,6,16,11
2016-01-01 08:25:58,6,6,5,16,11
2016-01-01 08:26:12,6,6,5,17,11
2016-01-01 08:26:20,6,6,5,17,12
2016-01-01 08:26:20,6,6,5,17,13
2016-01-01 08:26:20,6,6,5,17,12
2016-01-01 08:26:20,6,6,5,17,13
2016-01-01 08:26:46,6,6,5,18,13
2016-01-01 08:26:54,6,6,6,18,13
2016-01-01 08:27:58,6,6,6,17,13
2016-01-01 08:28:05,6,6,6,17,12
2016-01-01 08:28:10,6,6,7,17,12
2016-01-01 08:28:10,6,6,6,17,12
2016-01-01 08:28:10,6,6,7,17,12
2016-01-01 08:28:10,6,6,6,17,12
2016-01-01 08:28:16,6,6,6,18,12
2016-01-01 08:28:32,6,6,6,19,12
2016-01-01 08:28:33,6,6,6,18,12
2016-01-01 08:28:51,6,6,6,19,12
2016-01-01 08:29:07,7,6,6,19,12
2016-01-01 08:29:21,7,6,6,20,12
2016-01-01 08:29:25,7,6,6,19,12
2016-01-01 08:29:26,7,6,6,19,13
2016-01-01 08:29:33,7,6,6,19,14
2016-01-01 08:29:41,8,6,6,19,14
2016-01-01 08:30:07,8,6,6,18,14
2016-01-01 08:30:11,8,6,6,18,13
2016-01-01 08:30:15,8,6,6,17,13
2016-01-01 08:30:19,8,6,6,16,13
2016-01-01 08:30:24,8,6,6,15,13
2016-01-01 08:30:29,8,6,7,15,13
2016-01-01 08:30:39,8,6,7,16,13
2016-01-01 08:31:03,8,6,7,16,12
2016-01-01 08:31:24,7,6,7,15,12
2016-01-01 08:31:24,7,6,7,15,12
2016-01-01 08:31:28,7,6,6,15,12
2016-01-01 08:31:30,7,6,6,16,12
2016-01-01 08:31:49,7,6,6,16,13
2016-01-01 08:32:20,7,6,7,16,13
2016-01-01 08:32:26,7,6,7,16,14
2016-01-01 08:32:33,7,6,7,16,15
2016-01-01 08:32:38,7,6,7,15,15
2016-01-01 08:32:41,7,6,7,14,15
2016-01-01 08:32:44,7,7,7,14,16
2016-01-01 08:32:44,7,7,7,14,16
2016-01-01 08:32:47,7,7,7,14,15
2016-01-01 08:33:13,7,7,7,15,15
2016-01-01 08:33:27,7,7,6,15,15
2016-01-01 08:33:38,7,7,6,14,15
2016-01-01 08:33:44,8,7,6,14,15
2016-01-01 08:33:51,8,7,6,14,14
2016-01-01 08:33:56,8,7,7,14,14
2016-01-01 08:33:58,8,7,8,14,14
2016-01-01 08:34:00,8,7,8,14,13
2016-01-01 08:34:06,8,7,8,14,14
2016-01-01 08:34:26,8,7,9,14,14
2016-01-01 08:34:30,8,7,9,13,14
2016-01-01 08:34:37,8,7,9,14,14
2016-01-01 08:34:44,8,8,9,14,14
2016-01-01 08:34:49,8,8,9,13,14
2016-01-01 08:34:56,8,8,9,14,14
2016-01-01 08:34:59,8,8,9,15,14
2016-01-01 08:35:08,7,8,9,15,14
2016-01-01 08:35:11,7,8,9,16,14
2016-01-01 08:35:24,7,7,9,16,14
2016-01-01 08:35:41,7,7,9,16,15
2016-01-01 08:35:43,7,7,9,16,14
2016-01-01 08:35:51,7,7,9,15,14
2016-01-01 08:35:59,7,7,10,15,14
2016-01-01 08:36:01,7,7,10,15,15
2016-01-01 08:36:07,7,7,10,15,14
2016-01-01 08:36:33,8,7,10,15,14
2016-01-01 08:36:39,8,7,10,15,13
2016-01-01 08:37:00,8,7,11,15,13
2016-01-01 08:37:03,8,7,10,15,13
2016-01-01 08:37:09,8,7,11,15,13
2016-01-01 08:37:13,8,7,11,15,12
2016-01-01 08:37:15,8,7,11,15,13
2016-01-01 08:37:24,7,7,11,15,13
2016-01-01 08:37:41,7,7,11,16,13
2016-01-01 08:37:54,7,7,11,15,13
2016-01-01 08:37:57,6,7,11,15,13
2016-01-01 08:38:06,6,7,10,15,13
2016-01-01 08:38:22,6,7,11,15,13
2016-01-01 08:38:24,6,7,11,16,13
2016-01-01 08:38:39,6,7,11,16,14
2016-01-01 08:38:43,6,7,11,15,14
2016-01-01 08:38:50,6,7,11,16,14
2016-01-01 08:38:55,6,7,11,17,14
2016-01-01 08:38:58,6,7,11,18,14
2016-01-01 08:39:06,6,8,11,18,14
2016-01-01 08:39:14,6,8,10,18,14
2016-01-01 08:39:18,7,8,10,18,14
2016-01-01 08:39:21,7,8,10,17,14
2016-01-01 08:39:26,7,8,10,17,15
2016-01-01 08:39:30,7,8,10,17,16
2016-01-01 08:39:32,7,8,10,16,16
2016-01-01 08:39:35,7,8,10,15,16
2016-01-01 08:39:40,7,8,10,14,16
2016-01-01 08:40:07,7,8,9,14,16
2016-01-01 08:40:37,7,8,10,14,16
2016-01-01 08:40:49,7,8,10,14,15
2016-01-01 08:41:03,8,8,10,14,15
2016-01-01 08:41:08,8,8,10,15,15
2016-01-01 08:41:11,8,8,10,16,15
2016-01-01 08:41:16,8,8,10,16,16
2016-01-01 08:41:52,8,8,10,17,16
2016-01-01 08:42:07,8,8,11,17,16
2016-01-01 08:42:16,8,8,11,18,16
