retailerID,retailer, location, type, worktime, branches, link
121,Seoul Garden, 04-01,Dining,10 AM to 10 PM,15,http://www.streetdirectory.com/seoulgardensingapore/
122,SF,B1-K12,Dining,10 AM to 10 PM,,
123,Shihlin Taiwan Street Snacks,B1-K4,Dining,10 AM to 10 PM,15,http://www.streetdirectory.com/shihlin/
124,SingTel,02-13/14/15,Digital,10 AM to 10 PM,23,http://www.streetdirectory.com/singtel/
125,SK Jewellery,01-19/20,Fashion,10 AM to 10 PM,32,http://www.streetdirectory.com/skjewellery/
126,Skechers Kids, 03-06,Fashion,10 AM to 10 PM,13,http://www.streetdirectory.com/businessfinder/company_detail.php?companyid=157167&branchid=127270
127,So Pho,04-30/31,Dining,10 AM to 10 PM,4,http://www.streetdirectory.com/sopho/
128,SOLECASE,02-17B,Fashion,10 AM to 10 PM,,
129,Solution Matrix,02-16B/16C,Digital,10 AM to 10 PM,,http://www.streetdirectory.com/businessfinder/company_detail.php?companyid=213622&branchid=170575
130,SOOKEE, 01-26,Fashion,10 AM to 10 PM,20,http://www.streetdirectory.com/sookeejewellery/
131,Stalford Learning Centre, 05-08,Lifestyle,10 AM to 10 PM,9,http://www.streetdirectory.com/stalford/
132,Starbucks, 01-50,Dining,10 AM to 10 PM,112,http://www.streetdirectory.com/starbucks-coffee/
133,StarHub,02-27/28,Digital,10 AM to 10 PM,16,http://www.streetdirectory.com/businessfinder/company_detail.php?companyid=204356&branchid=243528
134,Stuff'd,B1-K13,Dining,10 AM to 10 PM,,
135,Suki-Ya And Eat at Taipei,B1-02,Dining,10 AM to 10 PM,9,http://www.streetdirectory.com/sukiya/
136,Surf N Skate,  04-09,Fashion,10 AM to 10 PM,,http://www.streetdirectory.com/businessfinder/company_detail.php?companyid=210168&branchid=91704
137,Swarovski, 01-05,Fashion,10 AM to 10 PM,16,http://www.streetdirectory.com/swarovski/
138,Swatch,01-K3,Fashion,10 AM to 10 PM,14,http://www.streetdirectory.com/swatch/
139,Swensen's, 03-30,Dining,10 AM to 10 PM,22,http://www.streetdirectory.com/swensens/
140,The Aroma Hub,03-K4,Lifestyle,10 AM to 10 PM,3,http://www.streetdirectory.com/businessfinder/company_detail.php?companyid=168197&branchid=30484
141,The Body Shop, 01-30,Lifestyle,10 AM to 10 PM,45,http://www.streetdirectory.com/the-body-shop/
142,The Good Earth Nail Bar,03-K2,Lifestyle,10 AM to 10 PM,,http://www.streetdirectory.com/businessfinder/company_detail.php?companyid=205902&branchid=93455
143,The Old Malaya Cafe,B1-10,Dining,10 AM to 10 PM,2,http://www.streetdirectory.com/businessfinder/company_detail.php?companyid=168812&branchid=242844
144,The Paper Stone,03-28/29,Lifestyle,10 AM to 10 PM,,
145,The Soup Spoon,B1-K2,Dining,10 AM to 10 PM,21,http://www.streetdirectory.com/thesoup/
146,THE WALLET SHOP, 02-09,Fashion,10 AM to 10 PM,12,http://www.streetdirectory.com/thewallet/
147,THEFACESHOP, 01-02,Lifestyle,10 AM to 10 PM,23,http://www.streetdirectory.com/thefaceshop/
148,Timberland, 01-15,Fashion,10 AM to 10 PM,12,http://www.streetdirectory.com/timberland/
149,TOG, 04-12,Lifestyle,10 AM to 10 PM,,
150,Tonkichi,03-26/27,Dining,10 AM to 10 PM,7,http://www.streetdirectory.com/tonkichi/
151,Tori-Q,B1-K20,Dining,10 AM to 10 PM,10,http://www.streetdirectory.com/businessfinder/company_detail.php?companyid=157961&branchid=161142
152,TOYS R US,03-17A/17A,Lifestyle,10 AM to 10 PM,8,http://www.streetdirectory.com/toysRus/
153,Umeya, 04-26,Dining,10 AM to 10 PM,14,http://www.streetdirectory.com/umeyafood/
154,UOB bank,01-K6,Services,10 AM to 10 PM,317,http://www.streetdirectory.com/UOB/
155,Valore,03-22/23,Digital,10 AM to 10 PM,5,http://www.streetdirectory.com/valore-lifestyle/
156,Victoria's Secret, 01-10/11,Lifestyle,10 AM to 10 PM,4,http://www.streetdirectory.com/victoriasecret/
157,Vincent Watch, 01-06/07,Fashion,10 AM to 10 PM,9,http://www.streetdirectory.com/vincentwatch/
158,Watches of Switzerland, 01-48,Fashion,10 AM to 10 PM,5,http://www.streetdirectory.com/watches-of-switzerland/
159,Watsons,B1-07/08/09,Lifestyle,10 AM to 10 PM,117,http://www.streetdirectory.com/watson/
160,Winter Time, 02-12,Fashion,10 AM to 10 PM,16,http://www.streetdirectory.com/winter-time/
161,X-CRAFT, 04-04,Fashion,10 AM to 10 PM,3,http://www.streetdirectory.com/businessfinder/company_detail.php?companyid=157226&branchid=93455
162,Yamaha Music Square,04-K1/13/16,Lifestyle,10 AM to 10 PM,10,http://www.streetdirectory.com/businessfinder/company_detail.php?companyid=173087&branchid=5924
