"district","name","open_close","type","address","floor_area","no_stores_mallwebsite","store_directory","no_stores_streetdirectory","streetdirectory","notes","lon","lat"
"East","Bedok Mall","open","mall","311 New Upper Changi Rd, Singapore 467360",20439,203,"http://bedokmall.com.sg/en/store-locator-list/",177,"http://www.streetdirectory.com/sg/bedok-mall/311-new-upper-changi-road-467360/101179_400723.html",NA,103.9392919,1.3250553
"East","Bedok Point","open","mall","799 New Upper Changi Road, Singapore 467351",12411,45,"http://bedokpoint.fraserscentrepointmalls.com/store.php?CategoryID=594",56,"http://www.streetdirectory.com/sg/bedok-point/799-new-upper-changi-road-467351/36372_74363.html",NA,103.9322989,1.3245739
"East","Century Square","open","mall","2 Tampines Central 5, Singapore 529509",29589,130,"http://www.centurysquare.com.sg/stores/",241,"http://www.streetdirectory.com/sg/century-square/2-tampines-central-5-529509/1343_84099.html",NA,103.9438363,1.352739
"East","Changi Airport","open","mall","Airport Boulevard, Changi Airport 819285",NA,237,"http://www.changiairport.com/en/shop-and-dine/shopping.html#nogo",NA,NA,NA,103.9915308,1.3644202
"East","Changi City Point","open","mall","5 Changi Business Park Central 1, Singapore 486038",60387,118,"http://changicitypoint.fraserscentrepointmalls.com/store.php",164,"http://www.streetdirectory.com/sg/changi-city-point/5-changi-business-park-central-1-486038/55949_147705.html",NA,103.9627633,1.3340622
"East","East Village","open","mall","430 Upper Changi Road, Singapore 487048",NA,80,"http://www.east-village.sg/mall-directory/",30,"http://www.streetdirectory.com/sg/east-village/371a-bedok-road-469549/1394_76074.html",NA,103.9467344,1.332673
"East","Eastpoint Mall","open","mall","3 Simei Street 6, Singapore 528833",19896,128,"http://eastpoint.fraserscentrepointmalls.com/store.php?CategoryID=594",160,"http://www.streetdirectory.com/sg/eastpoint-mall-east-point/3-simei-street-6-528833/2374_84012.html",NA,103.952974,1.342806
"East","Kallang Wave Mall","open","mall","1 Stadium Place, Singapore 397628",NA,78,"http://www.sportshub.com.sg/kallangwave/PublishingImages/Directories/KW-Directory-150629.png",60,"http://www.streetdirectory.com/sg/kallang-wave-mall/1-stadium-place-397628/103199_407753.html",NA,103.8742828,1.3043885
"East","Katong V","open","mall","30 E Coast Rd, 428751",NA,26,"http://www.katongv.com.sg/index.aspx?key=directory-by-category",36,"http://www.streetdirectory.com/sg/katong-v/30-east-coast-road-428751/101176_62983.html",NA,103.902914,1.3037749
"East","Leisure Park Kallang","open","mall","5 Stadium Walk, Singapore 397693",17466,80,"http://www.leisurepark.com.sg/directory",115,"http://www.streetdirectory.com/sg/leisure-park-kallang/5-stadium-walk-397693/4463_51094.html",NA,103.876445,1.3023579
"East","One KM","open","mall","11 Tanjong Katong Rd, OneKM, Singapore 436950",NA,48,"http://www.onekm.com.sg/shop-category/fashion-accessories-shoes/",77,"http://www.streetdirectory.com/sg/one-km/11-tanjong-katong-road-437157/57187_400699.html",NA,103.8947592,1.3148498
"East","Parkway Parade","open","mall","80 Marine Parade Rd, Singapore 449269",52119,277,"http://www.parkwayparade.com.sg/store-directory#/",539,"http://www.streetdirectory.com/sg/parkway-parade/80-marine-parade-road-449269/6629_67702.html",NA,103.9052955,1.3014083
"East","Paya Lebar Square","open","mall","60 Paya Lebar Rd, Singapore 409051",NA,112,"http://www.payalebarsquare.sg/shop_directory.aspx",29,"http://www.streetdirectory.com/sg/paya-lebar-square/60-paya-lebar-road-409051/56910_401346.html",NA,103.8925723,1.3188953
"East","Tampines 1","open","mall","10 Tampines Central 1, Singapore 529536",24619,173,"http://www.tampines1.com.sg/stores/",229,"http://www.streetdirectory.com/sg/tampines-1/10-tampines-central-1-529536/41474_84101.html",NA,103.9450223,1.3542047
"East","Tampines Mall","open","mall","4 Tampines Central 5, Singapore 529510",29234,173,"http://www.tampinesmall.com.sg/en/store-locator-list/",200,"http://www.streetdirectory.com/sg/tampines-mall/4-tampines-central-5-529510/8813_84100.html",NA,103.945245,1.3526609
"East","White Sands","open","mall","1 Pasir Ris Central Street 3, Singapore 519599",13791,33,"http://whitesandsmall.com/directory.htm",156,"http://www.streetdirectory.com/sg/white-sands/1-pasir-ris-central-street-3-518457/9800_82582.html",NA,103.9497693,1.3724663
"North","AMK Hub","open","mall","53 Ang Mo Kio Avenue 3, Singapore 569933",32516,200,"http://www.amkhub.com.sg/stores/",270,"http://www.streetdirectory.com/asiatravel/singaporemap/business/156157/326992/",NA,103.848122,1.369017
"North","Causeway Point","open","mall","1 Woodlands Square, Singapore 738099",39019,220,"http://causewaypoint.fraserscentrepointmalls.com/store.php?CategoryID=594",330,"http://www.streetdirectory.com/sg/causeway-point/1-woodlands-square-738099/1274_123331.html",NA,103.7862541,1.4358403
"North","Junction 8","open","mall","9 Bishan Pl, Singapore 579837",35000,168,"http://www.junction8.com.sg/en/store-locator-list/",256,"http://www.streetdirectory.com/sg/junction-8-shopping-centre/9-bishan-place-579837/820_106649.html",NA,103.8486223,1.3503209
"North","Junction 9","closed","mall",NA,NA,NA,NA,NA,NA,"NEW",NA,NA
"North","Northpoint Shopping Centre","open","mall","930 Yishun Ave 2, Singapore 769098",21832,146,"http://northpoint.fraserscentrepointmalls.com/store.php?CategoryID=594",225,"http://www.streetdirectory.com/sg/northpoint-shopping-centre/930-yishun-avenue-2-769098/6294_126857.html",NA,103.8361296,1.4295656
"North","Sembawang Shopping Centre","open","mall","604 Sembawang Rd, Singapore 758459",NA,77,"http://www.sembawangsc.com.sg/en/store-locator-list/",99,"http://www.streetdirectory.com/sg/sembawang-shopping-centre/604-sembawang-road-758459/7749_125142.html",NA,103.824824,1.441872
"North","Square 2","open","mall","10 Sinaran Dr, Singapore 307506",NA,171,"http://www.square2.com.sg/home/index.aspx?key=shop-directory&shops=name",116,"http://www.streetdirectory.com/sg/square-2/10-sinaran-drive-307506/31387_143147.html",NA,103.8442023,1.3207731
"North","Sun Plaza","open","mall","30 Sembawang Dr, Singapore 757713",NA,104,"http://www.sunplaza.sg/directory.html",100,"http://www.streetdirectory.com/sg/sun-plaza/30-sembawang-drive-757713/8626_124540.html",NA,103.8195041,1.4482171
"North","Thomson Plaza","open","mall","301 Upper Thomson Rd, Singapore 574408",NA,175,"http://www.thomsonplaza.com.sg/directory.html",145,"http://www.streetdirectory.com/sg/thomson-plaza/301-upper-thomson-road-574408/9161_101983.html",NA,103.8309888,1.3546971
"North","Toa Payoh HDB Hub","open","mall","460 Lorong 6 Toa Payoh, Singapore 310460",NA,186,"http://toapayohshoppingmall.com/",122,"http://www.streetdirectory.com/sg/courts-toa-payoh/460-lorong-6-toa-payoh-310460/53504_40135.html",NA,103.849886,1.331948
"North","Velocity Novena Square","open","mall","238 Thomson Rd, Singapore 307683",18581,120,"http://www.velocitynovena.com/",79,"http://www.streetdirectory.com/sg/velocity-novena-square/238-thomson-road-307683/32098_37946.html",NA,103.8438568,1.3199826
"North East","1 Sengkang Mall","closed","mall","1 Sengkang Square, Compass Point, Singapore 545078",25084,NA,NA,173,"http://www.streetdirectory.com/sg/compass-point/1-sengkang-square-545078/1909_90496.html","CLOSED",103.894775,1.392272
"North East","Greenwich V","open","mall","1 Seletar Road, Singapore 807011",NA,25,"http://www.greenwichv.com.sg/index.aspx?key=directory-bycategory",20,"http://www.streetdirectory.com/sg/greenwich-v/1-seletar-road-807011/53197_148279.html",NA,103.8686576,1.3871503
"North East","Heartland Mall","open","mall","205 Hougang Street 21, Singapore 530205",NA,106,"http://heartlandmall.com.sg/?page_id=42",81,"http://www.streetdirectory.com/sg/atm-heartland-mall-branch/205-hougang-street-21-530205/104214_84320.html",NA,103.8851749,1.3594258
"North East","Hougang 1","open","mall","1 Hougang Street 91, Singapore 538692",NA,37,"http://www.hougang1.com.sg/index.aspx?key=directory-by-category",40,"http://www.streetdirectory.com/sg/hougang-1/1-hougang-street-91-538692/3948_88979.html",NA,103.879482,1.376022
"North East","Hougang Green Shopping Mall","open","mall","21 Hougang Street 51, Singapore 538719",NA,NA,NA,70,"http://www.streetdirectory.com/sg/hougang-green-shopping-mall/21-hougang-street-51-538719/3943_88982.html",NA,103.888221,1.379502
"North East","Hougang Mall","open","mall","90 Hougang Avenue 10, Singapore 538766",20160,135,"http://www.hougangmall.com.sg/stores/",184,"http://www.streetdirectory.com/sg/hougang-mall/90-hougang-avenue-10-538766/29281_88992.html",NA,103.8937797,1.3724307
"North East","The Midtown","closed","mall",NA,NA,NA,"http://www.themidtown.net/p/the-midtown-hougang-floor-plans.html",NA,NA,"NEW",NA,NA
"North East","myVillage @ Serangoon","open","mall","1 Maju Ave, Singapore 556679",NA,38,"http://myvillage.sg/directory/",40,"http://www.streetdirectory.com/sg/myvillage-at-serangoon-garden/1-maju-avenue-556679/53325_96644.html",NA,103.865262,1.3652169
"North East","NEX","open","mall","23 Serangoon Central, Singapore 556083",55742,321,"http://www.nex.com.sg/index.php/directory.html",420,"http://www.streetdirectory.com/sg/nex/23-serangoon-central-556083/47454_144639.html",NA,103.8723743,1.3504465
"North East","Serangoon Plaza","open","mall","320 Serangoon Road, Singapore 218108",NA,NA,NA,125,"http://www.streetdirectory.com/sg/serangoon-plaza/320-serangoon-road-218108/7833_19286.html",NA,103.8551002,1.3108714
"North East","Rivervale Mall","open","mall","11 Rivervale Crescent, Singapore 545082",7897,NA,NA,73,"http://www.streetdirectory.com/sg/rivervale-mall/11-rivervale-crescent-545082/7314_90500.html",NA,103.9044211,1.392256
"North East","Rivervale Plaza","open","mall","118 Rivervale Drive, Singapore 540118",NA,84,"http://www.where2shop.sg/fi10/fi10334p.nsf/w/ShopperRivervalePlazaFloorPlan?OpenDocument",38,"http://www.streetdirectory.com/sg/rivervale-plaza/118-rivervale-drive-540118/7315_90010.html",NA,103.901579,1.385427
"North East","The Seletar Mall","open","mall","33 SengKang West Avenue, The Seletar Mall, Singapore 797653",17466,137,"https://www.theseletarmall.com/stores",117,"http://www.streetdirectory.com/sg/the-seletar-mall/33-sengkang-west-avenue-797653/100969_403879.html",NA,103.8685848,1.3866028
